vt_mV,deltat_c,i_ma_taumen,v_v_taumen,i_ma_taumen2,v_v_taumen2,i_ma_tdim,v_v_tdim
0.0,0,9.41,12.155,9.24,12.389,8.91,12.588
0.4,10,11.74,10.680,11.41,11.002,12.81,10.137
0.8,20,14.32,9.044,14.15,9.273,15.48,8.452
1.2,30,16.73,7.527,16.47,7.820,17.87,6.951
1.6,40,18.77,6.245,18.69,6.392,19.96,5.626
2.0,50,20.56,5.107,20.60,5.186,21.72,4.518
2.4,60,22.15,4.113,22.19,4.191,23.1,3.652
2.8,70,23.40,3.290,23.54,3.344,24.25,2.923
3.2,80,24.44,2.659,24.64,2.659,25.15,2.355
3.6,90,25.23,2.147,25.41,2.165,25.84,1.922
4.0,100,25.89,1.751,26.03,1.770,26.43,1.543
4.4,110,26.38,1.438,26.55,1.447,26.89,1.250
4.8,120,26.78,1.187,26.97,1.189,27.29,0.996
5.2,130,27.13,0.975,27.31,0.978,27.56,0.829
5.6,140,27.48,0.741,27.60,0.788,27.77,0.691
6.0,150,27.85,0.493,27.86,0.631,28.22,0.409
